stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow
1029TH,51.874767,-1.7400829999999998,417990.0,219610.0,0.8200000000000001,0.05,0.42,0.068
E2043,52.845991,-0.100848,528000.0,329300.0,1.77,0.15,0.895,0.15
52119,50.976043,-2.793549,344383.0,119926.0,3.843,0.16,2.8,0.231
E21136,52.323618,-0.101287,529500.0,271200.0,1.212,0.024,0.32,0.141
2067,52.51274,-2.205945,386120.0,290560.0,3.058,0.083,1.336,1.044
48143,50.172659,-5.109416,178065.0,34920.0,2.24,0.06,1.56,0.81
720215,53.858854,-2.743276,351210.0,440550.0,1.67,0.04,1.3,0.103
E9250,50.965124,-0.323121,517850.0,119750.0,,,,
F1906,54.080705,-2.024779,398476.0,464978.0,4.223,0.206,2.2,0.3
E8266,51.038451,-0.100268,533288.0,128283.0,1.893,0.3,1.053,0.061
1771TH,51.571482,-1.449342,438260.0,185990.0,0.188,-0.127,0.71,0.02
531118,51.521892,-2.521122,363940.0,180460.0,2.71,0.003,0.543,0.0
52207,51.083697,-2.586936,358984.0,131762.0,4.451,0.03,2.16,0.074
E1147,53.296901,-0.1319219999999999,524600.0,379400.0,1.185,0.0,0.35,0.019
E70039,52.473075,1.750085,654780.0,292741.0,3.35,,,
E70024,52.47311,1.75011,654781.0,292745.0,,,,
693115,53.407591,-2.294665,380508.0,390128.0,1.452,0.065,1.22,0.099
690611,53.493682,-2.229815,384850.0,399690.0,1.432,0.08,0.8,0.12
E21720,52.151539,0.067146,541524.0,252377.0,1.445,0.063,0.4,0.074
2804TH,51.589297,-0.381167,512244.0,189069.0,2.537,0.115,1.2,0.288
2406TH,51.296962,-1.056426,465884.0,155738.0,1.273,0.227,1.745,0.258
4615TH,51.908463,-0.46427,505740.0,224440.0,1.529,-0.164,1.3,0.015
43165,51.076527,-1.803528,413860.0,130819.0,1.359,0.049,0.48,0.103
2020,52.76777,-2.839715,343440.0,319240.0,1.127,0.042,0.7000000000000001,0.106
3400TH,51.415005,-0.308869,517700.0,169800.0,5.707,0.193,5.15,3.49
L1931,53.944393,-1.886441,407551.0,449817.0,0.798,0.058,1.0,0.086
1090_w2TH,51.713499,-1.420988,440100.0,201800.0,0.847,-0.085,0.349,0.004
44112,50.710758,-2.638832,354990.0,90320.0,0.514,0.043,0.5,0.094
023008,55.142955,-2.208614,386800.0,583200.0,3.076,0.17,2.0,0.205
690203,53.611067,-2.178685,388275.0,412740.0,2.222,0.057,1.8,0.098
