stationReference,latestReading,parameter,qualifier,unitName
E7050,0.0,rainfall,Tipping Bucket Raingauge,mm
4163,,rainfall,Tipping Bucket Raingauge,mm
E1310,,rainfall,Tipping Bucket Raingauge,mm
3680,0.0,rainfall,Tipping Bucket Raingauge,mm
3275,0.0,rainfall,Tipping Bucket Raingauge,mm
3167,0.0,rainfall,Tipping Bucket Raingauge,mm
3307,0.0,rainfall,Tipping Bucket Raingauge,mm
3404,0.0,rainfall,Tipping Bucket Raingauge,mm
3014,0.0,rainfall,Tipping Bucket Raingauge,mm
3901,0.0,rainfall,Tipping Bucket Raingauge,mm
3999,0.0,rainfall,Tipping Bucket Raingauge,mm
1412,0.0,rainfall,Tipping Bucket Raingauge,mm
0,,rainfall,Tipping Bucket Raingauge,mm
E13600,0.0,rainfall,Tipping Bucket Raingauge,mm
242534TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E8520,0.0,rainfall,Tipping Bucket Raingauge,mm
276316TP,0.0,rainfall,Tipping Bucket Raingauge,mm
E10130,0.0,rainfall,Tipping Bucket Raingauge,mm
E24238,0.0,rainfall,Tipping Bucket Raingauge,mm
E10510,0.0,rainfall,Tipping Bucket Raingauge,mm
000181TP,0.0,rainfall,Tipping Bucket Raingauge,mm
238605TP,0.0,rainfall,Tipping Bucket Raingauge,mm
52210,0.0,rainfall,Tipping Bucket Raingauge,mm
47161,0.0,rainfall,Tipping Bucket Raingauge,mm
E1039,0.0,rainfall,Tipping Bucket Raingauge,mm
E8770,0.0,rainfall,Tipping Bucket Raingauge,mm
244569TP,0.0,rainfall,Tipping Bucket Raingauge,mm
595273,0.0,rainfall,Tipping Bucket Raingauge,mm
46104,0.0,rainfall,Tipping Bucket Raingauge,mm
077066,0.0,rainfall,Tipping Bucket Raingauge,mm
E24195,0.0,rainfall,Tipping Bucket Raingauge,mm
000900,0.0,rainfall,Tipping Bucket Raingauge,mm
038179,0.0,rainfall,Tipping Bucket Raingauge,mm
242819TP,0.0,rainfall,Tipping Bucket Raingauge,mm
1113,0.0,rainfall,Tipping Bucket Raingauge,mm
43202,0.0,rainfall,Tipping Bucket Raingauge,mm
48148,0.0,rainfall,Tipping Bucket Raingauge,mm
037292,0.0,rainfall,Tipping Bucket Raingauge,mm
086575,0.0,rainfall,Tipping Bucket Raingauge,mm
E1179,0.0,rainfall,Tipping Bucket Raingauge,mm
E4753,0.0,rainfall,Tipping Bucket Raingauge,mm
