stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
E7050,52.186277,-1.171327,456750.0,254550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3680,52.73152,-0.995167,467950.0,315350.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3275,52.635078,-1.944539,403850.0,304150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3167,52.419334,-1.990391,400750.0,280150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3901,53.305797,-1.088289,460850.0,379150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3307,53.196879,-1.901908,406650.0,366650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3404,53.287863,-1.579192,428150.0,376850.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
242534TP,51.807828,-0.03963,535250.0,213950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3014,52.886657,-2.182004,387850.0,332150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E10510,51.053802,-0.642384,495250.0,129150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
3999,52.564065,-1.199634,454350.0,296550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
1412,52.47914,-2.975413,333850.0,287250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E13600,50.880106,-1.5585909999999998,431150.0,109050.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E8770,50.893868,0.081008,546450.0,112550.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E8520,51.039914,-0.097897,533450.0,128450.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
595273,54.760082,-3.214413,321950.0,541250.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
276316TP,51.718037,-0.217242,523250.0,203650.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E10130,51.185738,-0.408138,511350.0,144150.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24195,52.103622,0.807145,592350.0,248750.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
E24238,52.323011,-0.206231,522350.0,270950.0,,,,,0.0,rainfall,Tipping Bucket Raingauge,mm
