stationReference,stationName,latitude,longitude,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,dryvalue,dryvaluemax,dryvaluemin,wetvalue,wetvaluemax,wetvaluemin,qualifier,parameter
0130TH,Ewen,51.674733,-1.9904,0.945,-0.948,0.99,0.0,0.07445833333333343,0.075,0.073,0.133,0.133,0.133,['Stage'],['levelASD']
0144TH,Somerford Keynes,51.650724,-1.973061,1.484,0.325,1.6,0.363,0.8695625000000006,0.918,0.013,1.007,1.007,1.007,['Stage'],['levelASD']
0155TH,Oaksey,51.632205,-2.007169,1.887,-0.242,1.311,0.0,0.12968749999999998,0.154,0.108,0.098,0.098,0.098,['Stage'],['levelASD']
0184TH,Purton Stoke,51.61322,-1.87404,2.34,0.481,1.89,0.504,0.520072916666667,0.527,0.51,0.594,0.594,0.594,['Stage'],['levelASD']
0190TH,Cricklade,51.646694,-1.865536,0.992,0.012,1.083,0.058,0.15106250000000002,0.162,0.141,0.246,0.246,0.246,['Stage'],['levelASD']
022013,Callerton Lane,55.049407,-1.741713,2.24,-0.15,0.85,0.0,0.06342708333333336,0.07,0.058,0.078,0.078,0.078,['Stage'],['levelASD']
0260TH,Cirencester,51.724451,-1.972293,1.048,-0.032,0.7000000000000001,0.078,0.15346874999999985,0.155,0.151,0.225,0.225,0.225,['Stage'],['levelASD']
0278TH,South Cerney,51.673897,-1.934146,1.47,0.3,1.31,0.345,0.3288020833333332,0.331,0.323,0.402,0.402,0.402,['Stage'],['levelASD']
0290TH,Cerney Wick,51.665333,-1.891795,0.709,-0.093,0.6000000000000001,0.015,0.11034375000000007,0.112,0.108,0.217,0.217,0.217,['Stage'],['levelASD']
0311TH,Rushey Platt,51.553565,-1.803214,2.188,0.72,1.69,0.735,0.7397812500000001,0.744,0.734,0.827,0.827,0.827,['Stage'],['levelASD']
0319TH,Rodbourne,51.571821,-1.816698,2.463,-0.046,1.32,0.034,0.3012083333333334,0.41,0.159,0.389,0.389,0.389,['Stage'],['levelASD']
