stationReference,latestReading,parameter,qualifier,unitName
1029TH,0.353,level,Stage,mASD
E2043,0.491,level,Stage,mASD
52119,1.898,level,Stage,mASD
E21136,0.21,level,Stage,mASD
2067,1.217,level,Stage,mASD
48143,-12.93,level,Downstream Stage,mASD
720215,0.48,level,Stage,m
E9250,,level,Stage,mASD
F1906,1.859,level,Stage,m
E8266,0.339,level,Stage,mASD
1771TH,0.007,level,Stage,mASD
531118,0.63,level,Stage,m
52207,0.756,level,Stage,m
E1147,0.146,level,Stage,mASD
E70039,1.194,level,Tidal Level,mAOD
E70024,2.694,level,Tidal Level,m
693115,0.524,level,Stage,m
690611,0.246,level,Stage,m
E21720,0.35,level,Stage,m
2804TH,0.488,level,Stage,mASD
L2517,,level,Stage,m
2406TH,0.27,level,Stage,mASD
4615TH,0.034,level,Downstream Stage,mASD
43165,0.718,level,Stage,m
2020,0.567,level,Stage,mASD
3400TH,4.643,level,Stage,mAOD
L1931,0.265,level,Stage,m
1090_w2TH,0.38,level,Stage,mASD
44112,0.161,level,Stage,m
023008,0.885,level,Stage,m
690203,0.528,level,Stage,m
4036,1.001,level,Stage,mASD
46128,0.782,level,Stage,m
4827TH,1.494,level,Stage,mASD
055003_TG_316,2.474,level,Stage,mASD
L2011,5.976,level,Stage,mAOD
L08015,,level,Stage,---
2206,0.306,level,Stage,mASD
4161,1.01,level,Stage,mASD
693426,0.573,level,Stage,m
E72639,2.836,level,Tidal Level,mAOD
E72624,9.336,level,Tidal Level,m
730506,1.945,level,Stage,m
53131,0.529,level,Stage,m
43216,0.62,level,Stage,m
45171,0.289,level,Stage,m
4124,2.875,level,Stage,mASD
E2901,0.318,level,Stage,mASD
2095,1.11,level,Stage,mASD
022014,0.565,level,Stage,m
E21127,0.043,level,Stage,m
45134,1.069,level,Stage,m
L1115,0.147,level,Stage,m
E2790,1.095,level,Stage,mASD
L3404,0.53,level,Stage,mAOD
L2322,0.179,level,Stage,m
2241TH,-0.075,level,Downstream Stage,mASD
760502,3.154,level,Stage,m
E12442,0.602,level,Stage,mASD
5380TH,0.356,level,Stage,mASD
765045,0.789,level,Stage,m
L2545,0.458,level,Stage,m
F0815,0.202,level,Stage,m
740101,0.733,level,Stage,m
E4411,0.283,level,Stage,mASD
531109,6.134,level,Stage,m
L1203,1.02,level,Stage,m
2870TH,0.25,level,Stage,mASD
4435,0.292,level,Stage,mASD
2642,2.99,level,Stage,mASD
023036,0.478,level,Stage,m
47140,,level,Stage,m
4064,0.196,level,Stage,mASD
761659,1.351,level,Stage,m
2011,0.306,level,Stage,mASD
735225,1.306,level,Stage,m
F2102,,level,Stage,---
720517,,level,Stage,---
43119,,level,Stage,m
5376TH,0.319,level,Stage,mASD
E21563,0.572,level,Tidal Level,mAOD
684027,0.547,level,Stage,m
46119,0.884,level,Stage,m
E8210,0.713,level,Stage,mASD
L0307,0.611,level,Stage,m
50122,,level,Tidal Level,m
