stationReference,lat,long,easting,northing,maxOnRecord,minOnRecord,typicalRangeHigh,typicalRangeLow,latestReading,parameter,qualifier,unitName
E70039,52.473075,1.750085,654780.0,292741.0,3.35,,,,1.194,level,Tidal Level,mAOD
E70024,52.47311,1.75011,654781.0,292745.0,,,,,2.694,level,Tidal Level,m
E72639,51.49999,-2.728468,349530.0,178147.0,8.626,,,,2.836,level,Tidal Level,mAOD
E72624,51.5,-2.72847,349530.0,178148.0,,,,,9.336,level,Tidal Level,m
E21563,52.735281,1.480458,635066.0,320977.0,0.8230000000000001,0.042,0.75,0.25,0.572,level,Tidal Level,mAOD
E71539,51.445627,0.7434149999999999,590740.0,175419.0,4.29,,,,0.017,level,Tidal Level,mAOD
E71524,51.44564,0.7434400000000001,590742.0,175420.0,,,,,2.917,level,Tidal Level,m
0006,51.501216,-0.12385,530320.0,179700.0,4.83,,,,-1.324,level,Tidal Level,mAOD
L3901,54.603816,-1.16076,454311.0,523508.0,4.09,,,,-0.537,level,Tidal Level,mAOD
46110,50.541046,-3.550843,290203.0,72402.0,3.113,,,,0.769,level,Tidal Level,m
E1538,53.293005,0.297051,553200.0,379800.0,5.119,,,,2.384,level,Tidal Level,mAOD
E23060,52.576492,1.516029,638329.0,303439.0,1.572,-0.398,1.24,0.198,0.536,level,Tidal Level,mAOD
E71939,50.714331,-1.874873,408930.0,90530.0,1.24,,,,0.612,level,Tidal Level,mAOD
E71924,50.71433,-1.87486,408931.0,90530.0,,,,,2.012,level,Tidal Level,m
E21226,52.678328,1.487896,635875.0,314669.0,0.898,0.07,0.94,0.2,0.466,level,Tidal Level,mAOD
E24064,52.70167,1.571118,641370.0,317540.0,0.92,-0.009,1.07,0.0,0.566,level,Tidal Level,m
44202,50.683502,-2.108932,392400.0,87100.0,1.436,,,,0.409,level,Tidal Level,mAOD
0007,51.506753,-0.078706,533437.0,180397.0,4.8100000000000005,,,,-1.444,level,Tidal Level,mAOD
E14993,50.693632,-1.107996,463100.0,88600.0,2.866,,,,-0.32,level,Tidal Level,mAOD
E71239,52.934316,1.301623,621979.0,342539.0,3.76,,,,1.344,level,Tidal Level,mAOD
E71224,52.93436,1.30164,621980.0,342544.0,,,,,4.094,level,Tidal Level,m
44105,50.711622,-2.762844,346235.0,90499.0,2.965,,,,0.531,level,Tidal Level,mAOD
45127,50.616779,-3.424247,299335.0,80643.0,3.112,,,,1.315,level,Tidal Level,mAOD
E23052,52.481995,1.670537,649329.0,293455.0,1.507,-0.552,1.33,-0.35,0.348,level,Tidal Level,mAOD
50180,50.648044,-3.431911,298860.0,84130.0,3.238,,,,1.349,level,Tidal Level,m
46121,50.544315,-3.499054,293880.0,72690.0,2.97,,,,1.394,level,Tidal Level,mAOD
0008,51.484369,-0.149631,528578.0,177781.0,4.95,,,,-1.519,level,Tidal Level,mAOD
E24835,52.612266,1.434411,632611.0,307150.0,1.387,-0.295,1.1,0.017,0.656,level,Tidal Level,mAOD
44106,50.569876,-2.441027,368863.0,74552.0,2.019,,,,0.773,level,Tidal Level,mAOD
E72039,50.608501,-2.447945,368399.0,78850.0,1.82,,,,0.531,level,Tidal Level,mAOD
E72024,50.6085,-2.44794,368399.0,78850.0,,,,,1.461,level,Tidal Level,m
E1442,53.677267,-0.5254329999999999,497500.0,421100.0,5.142,,,,2.962,level,Tidal Level,mAOD
E41137,52.571947,1.738433,653419.0,303692.0,3.318,,,,1.113,level,Tidal Level,mAOD
E71624,51.11439,1.32267,632652.0,140262.0,,,,,4.698,level,Tidal Level,m
E71639,51.114372,1.322641,632650.0,140260.0,4.7620000000000005,,,,1.028,level,Tidal Level,mAOD
E42196,52.315823,1.670054,650235.0,274979.0,2.805,,,,0.158,level,Tidal Level,mAOD
E73424,54.03183,-2.92025,339820.0,459932.0,,,,,6.156,level,Tidal Level,m
L3491,53.727084,-0.585836,493400.0,426561.0,6.07,,,,1.576,level,Tidal Level,mAOD
48184,50.336116,-4.633573,212681.0,51783.0,3.146,,,,1.038,level,Tidal Level,mAOD
E14521,50.763011,-1.536709,432771.0,96038.0,2.203,,,,0.389,level,Tidal Level,mAOD
E2085,52.808232,0.2105729999999999,549100.0,325700.0,6.032,,,,2.713,level,Tidal Level,mAOD
E1030,53.102208,0.317091,555223.0,358622.0,,,,,2.38,level,Tidal Level,mAOD
